SEED,SUBJID,Sequence,DATE,SIGN,round,Note
5009,1,003 -> 002_SP -> 002_PP,10/23/2019,LKY,1,003的PSA編號打成5009
5009,2,002_SP -> 002_PP -> 003,10/23/2019,LKY,1,003的PSA編號打成5009
5009,3,002_SP -> 002_PP -> 003,10/23/2019,LKY,1,
5009,4,002_SP -> 002_PP -> 003,10/23/2019,LKY,1,
5009,5,002_SP -> 002_PP -> 003,11/22/2019,LRX,1,Compliance for ID 5 in 10/23/2019
5009,6,003 -> 002_SP -> 002_PP,10/30/2019,LKY,1,
5009,7,003 -> 002_SP -> 002_PP,10/30/2019,LKY,1,
5009,8,003 -> 002_SP -> 002_PP,10/30/2019,LKY,1,受測者把在SP測驗中”三句以內出現過的句子“ 看成 ”前面出現過“
5009,9,003 -> 002_SP -> 002_PP,10/30/2019,LKY,1,
5009,10,003 -> 002_SP -> 002_PP,10/30/2019,LKY,1,
5009,11,002_SP -> 002_PP -> 003,10/30/2019,LKY,1,
5009,12,003 -> 002_SP -> 002_PP,11/1/2019,LKY,1,
5009,13,002_SP -> 002_PP -> 003,11/1/2019,LKY,1,
5009,14,003 -> 002_SP -> 002_PP,11/1/2019,LKY,1,
5009,15,003 -> 002_SP -> 002_PP,11/1/2019,LKY,1,
5009,16,003 -> 002_SP -> 002_PP,11/1/2019,LKY,1,
5009,17,002_SP -> 002_PP -> 003,11/7/2019,LKY,1,
5009,18,003 -> 002_SP -> 002_PP,11/7/2019,LKY,1,
5009,19,003 -> 002_SP -> 002_PP,11/7/2019,LKY,1,
5009,20,003 -> 002_SP -> 002_PP,11/7/2019,LKY,1,
5009,21,002_SP -> 002_PP -> 003,11/7/2019,LKY,1,
5009,22,003 -> 002_SP -> 002_PP,11/7/2019,LKY,1,
5009,23,003 -> 002_SP -> 002_PP,11/8/2019,LKY,1,
5009,24,002_SP -> 002_PP -> 003,11/8/2019,LKY,1,受試者為馬來西亞人
5009,25,002_SP -> 002_PP -> 003,11/8/2019,LKY,1,
5009,26,002_SP -> 002_PP -> 003,11/8/2019,LKY,1,
5009,27,003 -> 002_SP -> 002_PP,11/8/2019,LKY,1,
5009,28,002_SP -> 002_PP -> 003,11/20/2019,LKY,1,受試者為馬來西亞人
5009,29,003 -> 002_SP -> 002_PP,11/20/2019,LRX,1,
5009,30,002_SP -> 002_PP -> 003,11/20/2019,LRX,1,
5009,31,003 -> 002_SP -> 002_PP,11/20/2019,LRX,1,血統哪兒忘了填 TAIWAN
5009,32,003 -> 002_SP -> 002_PP,11/20/2019,LRX,1,血統以及性別受試者自行填了 黃種以及女性
5009,33,003 -> 002_SP -> 002_PP,11/20/2019,LRX,1,
5009,34,003 -> 002_SP -> 002_PP,11/20/2019,LRX,1,受試者是馬來西亞華人
5009,35,002_SP -> 002_PP -> 003,11/20/2019,LRX,1,受試者是馬來西亞華人
5009,36,003 -> 002_SP -> 002_PP,11/20/2019,LRX,1,
5009,37,002_SP -> 002_PP -> 003,11/20/2019,LRX,1,
5009,38,003 -> 002_SP -> 002_PP,11/22/2019,LRX,1,Compliance for ID 38 in 10/23/2019
5009,39,002_SP -> 002_PP -> 003,11/21/2019,LRX,1,受試者是馬來西亞華人
5009,40,003 -> 002_SP -> 002_PP,11/21/2019,LRX,1,受試者是馬來西亞華人
5009,41,002_SP -> 002_PP -> 003,11/22/2019,LRX,1,
5009,42,002_SP -> 002_PP -> 003,11/22/2019,LRX,1,
5009,43,002_SP -> 002_PP -> 003,11/22/2019,LRX,1,
5009,44,003 -> 002_SP -> 002_PP,11/22/2019,LRX,1,
5009,45,002_SP -> 002_PP -> 003,11/22/2019,LRX,1,
5009,46,003 -> 002_SP -> 002_PP,11/22/2019,LRX,1,
5009,47,003 -> 002_SP -> 002_PP,11/22/2019,LRX,1,
5009,48,002_SP -> 002_PP -> 003,11/22/2019,LRX,1,
5009,49,003 -> 002_SP -> 002_PP,11/22/2019,LRX,1,
5009,50,002_SP -> 002_PP -> 003,11/22/2019,LRX,1,
5009,51,002_SP -> 002_PP -> 003,11/22/2019,LRX,2,
5009,52,002_SP -> 002_PP -> 003,11/22/2019,LRX,2,
5009,53,002_SP -> 002_PP -> 003,11/22/2019,LRX,2,
5009,54,003 -> 002_SP -> 002_PP,11/22/2019,LRX,2,無法點擊No，事後檢查正常
5009,55,002_SP -> 002_PP -> 003,11/22/2019,LRX,2,
5009,56,002_SP -> 002_PP -> 003,11/22/2019,LRX,2,
5009,57,002_SP -> 002_PP -> 003,11/22/2019,LRX,2,受試者是馬來西亞華人
5009,58,002_SP -> 002_PP -> 003,12/6/2019,csc,2,
5009,59,002_SP -> 002_PP -> 003,12/6/2019,csc,2,
5009,60,003 -> 002_SP -> 002_PP,12/6/2019,csc,2,
5009,61,002_SP -> 002_PP -> 003,,,3,
5009,62,003 -> 002_SP -> 002_PP,,,3,
5009,63,003 -> 002_SP -> 002_PP,,,3,
5009,64,003 -> 002_SP -> 002_PP,,,3,
5009,65,003 -> 002_SP -> 002_PP,,,3,
5009,66,003 -> 002_SP -> 002_PP,,,3,
