SEED,SUBJID,Sequence,DATE,SIGN,round,comment,notes
6143,1,003 -> 002_SP -> 002_PP,11/5/19,,1,,
6143,2,003 -> 002_SP -> 002_PP,11/5/19,,1,"Wrong choice, Correct sequence",
6143,3,002_SP -> 002_PP -> 003,11/5/19,,1,,
6143,4,003 -> 002_SP -> 002_PP,11/6/19,,1,"Wrong choice, Correct sequence",
6143,5,002_SP -> 002_PP -> 003,11/6/19,,1,,
6143,6,002_SP -> 002_PP -> 003,11/7/19,,1,,
6143,7,003 -> 002_SP -> 002_PP,11/8/19,,1,,
6143,8,002_SP -> 002_PP -> 003,11/8/19,,1,,
6143,9,002_SP -> 002_PP -> 003,11/11/19,,1,,
6143,10,002_SP -> 002_PP -> 003,11/11/19,,1,Accidential Stop,
6143,11,002_SP -> 002_PP -> 003,11/11/19,,1,,
6143,12,002_SP -> 002_PP -> 003,11/11/19,,1,,
6143,13,003 -> 002_SP -> 002_PP,11/12/19,,1,"Wrong choice, Correct sequence",
6143,14,002_SP -> 002_PP -> 003,11/12/19,,1,,
6143,15,002_SP -> 002_PP -> 003,11/12/19,,1,,
6143,16,003 -> 002_SP -> 002_PP,11/13/19,,1,"Wrong choice, Correct sequence",
6143,17,002_SP -> 002_PP -> 003,11/13/19,,1,,
6143,18,002_SP -> 002_PP -> 003,11/13/19,,1,,
6143,19,003 -> 002_SP -> 002_PP,11/14/19,,1,"Wrong choice, Correct sequence",
6143,20,003 -> 002_SP -> 002_PP,11/14/19,,1,"Wrong choice, Correct sequence",
6143,21,003 -> 002_SP -> 002_PP,11/15/19,,1,"Wrong choice, Correct sequence",
6143,22,003 -> 002_SP -> 002_PP,11/15/19,,1,,
6143,23,002_SP -> 002_PP -> 003,11/15/19,,1,Accidential Stop,
6143,24,002_SP -> 002_PP -> 003,11/16/19,,1,"For the SP study, the participant accidentally pressed 'K' instead of 'J' for the first 15 or so items",
6143,25,003 -> 002_SP -> 002_PP,11/16/19,,1,,
6143,26,002_SP -> 002_PP -> 003,11/17/19,,1,,
6143,27,002_SP -> 002_PP -> 003,11/17/19,,1,,
6143,28,002_SP -> 002_PP -> 003,11/18/19,,1,,
6143,29,003 -> 002_SP -> 002_PP,11/18/19,,1,"Wrong choice, Correct sequence",
6143,30,003 -> 002_SP -> 002_PP,11/18/19,,1,"Wrong choice, Correct sequence",
6143,31,003 -> 002_SP -> 002_PP,11/18/19,,1,"Wrong choice, Correct sequence",
6143,32,002_SP -> 002_PP -> 003,11/18/19,,1,,
6143,33,002_SP -> 002_PP -> 003,11/18/19,,1,,
6143,34,003 -> 002_SP -> 002_PP,11/19/19,,1,"Wrong choice, Correct sequence",Clicked through and filled out the demographic questions before completing the SP and PP tasks. She said she struggled with following the instrutions during the SP task.
6143,35,002_SP -> 002_PP -> 003,11/19/19,,1,,
6143,36,002_SP -> 002_PP -> 003,11/19/19,,1,,
6143,37,003 -> 002_SP -> 002_PP,11/19/19,,1,"Wrong choice, Correct sequence",
6143,38,002_SP -> 002_PP -> 003,11/19/19,,1,,
6143,39,002_SP -> 002_PP -> 003,11/19/19,,1,,
6143,40,003 -> 002_SP -> 002_PP,11/19/19,,1,"Wrong choice, Correct sequence",
6143,41,003 -> 002_SP -> 002_PP,11/19/19,,1,"Wrong choice, Correct sequence",
6143,42,003 -> 002_SP -> 002_PP,11/20/19,,1,"Wrong choice, Correct sequence",
6143,43,003 -> 002_SP -> 002_PP,11/20/19,,1,"Wrong choice, Correct sequence",
6143,44,003 -> 002_SP -> 002_PP,11/20/19,,1,"Wrong choice, Correct sequence",
6143,45,003 -> 002_SP -> 002_PP,11/20/19,,1,Wrong SEED,
6143,46,002_SP -> 002_PP -> 003,11/21/19,,1,,
6143,47,002_SP -> 002_PP -> 003,11/21/19,,1,,
6143,48,003 -> 002_SP -> 002_PP,11/21/19,,1,,
6143,49,002_SP -> 002_PP -> 003,11/21/19,,1,,
6143,50,002_SP -> 002_PP -> 003,11/21/19,,1,,
6143,51,002_SP -> 002_PP -> 003,11/21/19,,2,,
6143,52,003 -> 002_SP -> 002_PP,,,2,,
6143,53,003 -> 002_SP -> 002_PP,,,2,,
6143,54,002_SP -> 002_PP -> 003,,,2,,
6143,55,003 -> 002_SP -> 002_PP,,,2,,
6143,56,003 -> 002_SP -> 002_PP,,,2,,
6143,57,003 -> 002_SP -> 002_PP,,,2,No participant 57 as #58 was accidentally used twice,
6143,58,003 -> 002_SP -> 002_PP,,,2,,
6143,59,002_SP -> 002_PP -> 003,,,2,,
6143,60,002_SP -> 002_PP -> 003,,,2,,
6143,61,002_SP -> 002_PP -> 003,,,2,,
6143,62,002_SP -> 002_PP -> 003,,,2,,
6143,63,002_SP -> 002_PP -> 003,,,2,,
6143,64,002_SP -> 002_PP -> 003,,,2,,
6143,65,002_SP -> 002_PP -> 003,,,2,,
6143,66,003 -> 002_SP -> 002_PP,,,2,,
6143,67,002_SP -> 002_PP -> 003,,,2,,
6143,68,003 -> 002_SP -> 002_PP,,,2,,
6143,69,003 -> 002_SP -> 002_PP,,,2,,
6143,70,003 -> 002_SP -> 002_PP,,,2,,
6143,71,003 -> 002_SP -> 002_PP,,,2,,
6143,72,003 -> 002_SP -> 002_PP,,,2,,
6143,73,003 -> 002_SP -> 002_PP,,,2,,
6143,74,002_SP -> 002_PP -> 003,,,2,,
6143,75,003 -> 002_SP -> 002_PP,,,2,,
6143,76,003 -> 002_SP -> 002_PP,,,2,,
6143,77,002_SP -> 002_PP -> 003,,,2,,
6143,78,002_SP -> 002_PP -> 003,,,2,,
6143,79,002_SP -> 002_PP -> 003,,,2,,
6143,80,003 -> 002_SP -> 002_PP,,,2,,
6143,81,003 -> 002_SP -> 002_PP,,,3,,
6143,82,002_SP -> 002_PP -> 003,,,3,,
6143,83,003 -> 002_SP -> 002_PP,,,3,,
6143,84,003 -> 002_SP -> 002_PP,,,3,,
6143,85,002_SP -> 002_PP -> 003,,,3,,
6143,86,002_SP -> 002_PP -> 003,,,3,,
6143,87,003 -> 002_SP -> 002_PP,,,3,,
6143,88,003 -> 002_SP -> 002_PP,,,3,,
6143,89,003 -> 002_SP -> 002_PP,,,3,,
6143,90,002_SP -> 002_PP -> 003,,,3,,
